,_id,kind,etag,id,snippet,check_dup
0,6075fe23a6ab47101c2989de,youtube#searchResult,X-MFzA6TftodOWUtAIbHb_rCdvg,"{'kind': 'youtube#video', 'videoId': 'ftPBz0a9FJg'}","{'publishedAt': '2011-10-21T14:51:07Z', 'channelId': 'UCzVaPlUrK_F-PHmn3nGUk0Q', 'title': 'SRT : Thailand Big Flood 2011 HD , รถไฟไทยลุยน้ำท่วม 19.10.2011', 'description': 'ขบวนรถพิเศษช่วยการโดยสาร ดอนเมือง - อยุธยา - ดอนเมือง การรถไฟแห่งประเทศไทย ช่วยบรรเทาความเดือดร้อน จากเหตุการอุทกภัย สามารถตรวจสอบการเดินทางได้โทร 1690 ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/ftPBz0a9FJg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ftPBz0a9FJg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ftPBz0a9FJg/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'GanzExpress - รถไฟไทย Thai Railway', 'liveBroadcastContent': 'none', 'publishTime': '2011-10-21T14:51:07Z'}",ftPBz0a9FJg
1,6075fe23a6ab47101c2989df,youtube#searchResult,NdcloHqRetBRtVvmDWUYtr5BH9c,"{'kind': 'youtube#video', 'videoId': 'tFV_8kdaANI'}","{'publishedAt': '2018-06-04T08:17:38Z', 'channelId': 'UCWX9dtRV_sK4TNTAl8yaPTA', 'title': '[Eng. Sub] Daniel Best Goalkeeper Savesแดเนียล โกลด์มือเหนียว เพื่อนรักบีเกิ้ล', 'description': 'แดเนียล เด็กชายแดเนียล พรมทัศน์ ผู้รักษาประตูสุดหล่อ ลูกครึ่งแอฟริกาใต้-ไทย วัย 9 ขวบ จากจังหวัดราชบุรี เข้าสู่วงการฟุตบอลเพราะเห็นคุณพ่อเชียร์ทีมฟุตบอลสุดโปรดลิเวอร์พูล ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/tFV_8kdaANI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/tFV_8kdaANI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/tFV_8kdaANI/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Superjeew Official', 'liveBroadcastContent': 'none', 'publishTime': '2018-06-04T08:17:38Z'}",tFV_8kdaANI
2,6075fe23a6ab47101c2989e0,youtube#searchResult,vmajrpy7v4RUE3HVuJbesM6pnyk,"{'kind': 'youtube#video', 'videoId': 'wnxInyyrY_U'}","{'publishedAt': '2017-10-01T14:57:29Z', 'channelId': 'UCt1Nxn4Loagg7ieDJ54afaw', 'title': 'รวมอุลตร้าแมน', 'description': 'รวมเพลง\u200bอุลตร้า\u200bแมน\u200b1966ถึง2016.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/wnxInyyrY_U/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/wnxInyyrY_U/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/wnxInyyrY_U/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'alleverything studio', 'liveBroadcastContent': 'none', 'publishTime': '2017-10-01T14:57:29Z'}",wnxInyyrY_U
3,6075fe23a6ab47101c2989e1,youtube#searchResult,33FZO_mEhOaWKjNUGvjWD7SXoSU,"{'kind': 'youtube#video', 'videoId': 'NTCkWqWQvb4'}","{'publishedAt': '2018-05-10T03:42:48Z', 'channelId': 'UC90a4pmiGekSZpIFa2HE6Zg', 'title': 'ลุย!! ISUZU 4x4 LAND “สนามรถขับเคลื่อน 4 ล้ออีซูซุ” ปทุมธานี', 'description': 'สนาม ISUZU 4x4 LAND แห่งใหม่“ในจังหวัดปทุมธานี บนเนื่อที่ 30 ไร่ กับ 7 สถานีเร้าใจ จำลองอุปสรรคหลากหลายรูปแบบ ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/NTCkWqWQvb4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/NTCkWqWQvb4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/NTCkWqWQvb4/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'CarInner', 'liveBroadcastContent': 'none', 'publishTime': '2018-05-10T03:42:48Z'}",NTCkWqWQvb4
4,6075fe23a6ab47101c2989e2,youtube#searchResult,TAD8Xka2g2XOeH66aplkQNrJc18,"{'kind': 'youtube#video', 'videoId': '-qE5FqiUCKI'}","{'publishedAt': '2012-10-06T04:51:57Z', 'channelId': 'UC7Y9S4Of9oNHwLRcW29AyUA', 'title': 'doll face', 'description': 'Senior Project Animation : This story about a girl wants to be superstar.Anyone saw her inadequate ability and looked ordinary.She chose to do surgery.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/-qE5FqiUCKI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/-qE5FqiUCKI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/-qE5FqiUCKI/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'NAPADEE KJ', 'liveBroadcastContent': 'none', 'publishTime': '2012-10-06T04:51:57Z'}",-qE5FqiUCKI
5,6075fe23a6ab47101c2989e3,youtube#searchResult,TxFaCspFRmkgZQma_kjQUJ5WbU4,"{'kind': 'youtube#video', 'videoId': 'W4IUKZrDQw8'}","{'publishedAt': '2018-05-10T18:41:47Z', 'channelId': 'UCKxY4RXwl8jwIzVmea-9A6w', 'title': 'Cute hairstyle idea', 'description': ""Thanks For Watching ! Please Like Share & Comment If You Like This Video ! I really hope you enjoy it and don't forget to SUBSCRIBE for more videos !"", 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/W4IUKZrDQw8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/W4IUKZrDQw8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/W4IUKZrDQw8/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'NIssara Hairstylist Thailand', 'liveBroadcastContent': 'none', 'publishTime': '2018-05-10T18:41:47Z'}",W4IUKZrDQw8
6,6075fe23a6ab47101c2989e4,youtube#searchResult,eMcNEVUy2jORWSphgz5newfrDLk,"{'kind': 'youtube#video', 'videoId': 'XYB-X0rOlbc'}","{'publishedAt': '2018-05-23T10:05:31Z', 'channelId': 'UCbnZg6ak7qs601DHifli5-g', 'title': 'Key4050 - Equinox (First version) (Live at Transmission Bangkok 2018)', 'description': 'TRANSMISSION MERCHANDISE http://bit.ly/TMSHOP DONATE https://paypal.me/TransmissionFestival Join Transmission Prague 2021 ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/XYB-X0rOlbc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/XYB-X0rOlbc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/XYB-X0rOlbc/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Transmission Festival', 'liveBroadcastContent': 'none', 'publishTime': '2018-05-23T10:05:31Z'}",XYB-X0rOlbc
7,6075fe23a6ab47101c2989e5,youtube#searchResult,Kj8KoNs-goxJ7KQVtyyllacrFVA,"{'kind': 'youtube#video', 'videoId': '47eIpwJoBTU'}","{'publishedAt': '2016-08-18T10:47:32Z', 'channelId': 'UCKxY4RXwl8jwIzVmea-9A6w', 'title': '#Elegant but #Simple #Hairdo || ทรงผมเรียบหรูออกงาน สำหรับมือใหม่', 'description': 'hairstylesforlonghair #hairstyle #bunhairstyles #updohairstyles #้ครูนิดสอนทำผม #weddinghairstyles #ทรงผมเจ้าสาว #ทรงผมรับปริญญา #nissarathailandhairstylist ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/47eIpwJoBTU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/47eIpwJoBTU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/47eIpwJoBTU/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'NIssara Hairstylist Thailand', 'liveBroadcastContent': 'none', 'publishTime': '2016-08-18T10:47:32Z'}",47eIpwJoBTU
8,6075fe23a6ab47101c2989e6,youtube#searchResult,0szUdFG1kcMiItdYVeY2Etr5BxQ,"{'kind': 'youtube#video', 'videoId': 'BnzNjRzaql0'}","{'publishedAt': '2016-09-15T14:35:28Z', 'channelId': 'UCRvJDcHEXt0GK1lJ-6kMshA', 'title': 'ไม้ไผ่ ในวงเหล้า', 'description': 'ณ กุแหระ นครศรีธรรมราช.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/BnzNjRzaql0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/BnzNjRzaql0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/BnzNjRzaql0/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'นวรัฐ ต่างสี', 'liveBroadcastContent': 'none', 'publishTime': '2016-09-15T14:35:28Z'}",BnzNjRzaql0
9,6075fe23a6ab47101c2989e7,youtube#searchResult,8Aq8nzVf7RGKwYGm2qaC57NtLYI,"{'kind': 'youtube#video', 'videoId': 'lWGJb3Q-uDQ'}","{'publishedAt': '2017-10-18T06:04:13Z', 'channelId': 'UClr_YfEd1-V79bTrZe7cqrw', 'title': 'ซูชิหัวละหมื่นสอง! อยากรู้เป็นยังไงต้องไปโดน! | Ginza Sushi Ichi', 'description': 'บอกเลยว่าตั้งแต่กินมา นี่คือซูชิ Omakase ที่ดีที่สุดในชีวิต กินเข้าไปแล้วน้ำตาไหลพรากกก (เพราะตังหมด 55555+) วัตถุดิบทุกอย่างคือดีงามมม โคตรเมพ ร้านชื่อ Ginza Sushi Ichi ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/lWGJb3Q-uDQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/lWGJb3Q-uDQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/lWGJb3Q-uDQ/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'BoomTharis', 'liveBroadcastContent': 'none', 'publishTime': '2017-10-18T06:04:13Z'}",lWGJb3Q-uDQ
10,6075fe23a6ab47101c2989e8,youtube#searchResult,rawHhYxu7fXquogUKS51orsUxZI,"{'kind': 'youtube#video', 'videoId': 'C2S9rLqvnQk'}","{'publishedAt': '2017-06-23T09:21:44Z', 'channelId': 'UCKek28lylyl_JHEIJp2GDQA', 'title': 'จัดฟันแบบใส ที่ไหนดี', 'description': 'จัดฟันแบบใสที่ไหน Bangkok International Dental Center (BIDC) The Dental Professionals www.BangkokDentalCenter.com contact@bangkokdentalcenter.com ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/C2S9rLqvnQk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/C2S9rLqvnQk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/C2S9rLqvnQk/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'BIDC Dental Center', 'liveBroadcastContent': 'none', 'publishTime': '2017-06-23T09:21:44Z'}",C2S9rLqvnQk
11,6075fe23a6ab47101c2989e9,youtube#searchResult,yuvIPpx9HrzcvLVBEU1Hhfn-KuM,"{'kind': 'youtube#video', 'videoId': 'bVYat45leGI'}","{'publishedAt': '2018-03-16T13:17:52Z', 'channelId': 'UClr_YfEd1-V79bTrZe7cqrw', 'title': '5 สุดยอดน้ำซุป! อาหารจีนที่ผมกินตั้งแต่เกิด! | รื่นรส ภัตตาคาร', 'description': 'ร้านที่ผมจะพาไปกินวันนี้คือร้าน “รื่นรสภัตตาคาร” เป็นร้านอาหารจีนที่ผมกินมาตั้งแต่เกิด และน่าจะเป็นร้านอาหารที่ผมกินบ่อยที่สุดในชีวิตร้านนึง ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/bVYat45leGI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/bVYat45leGI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/bVYat45leGI/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'BoomTharis', 'liveBroadcastContent': 'none', 'publishTime': '2018-03-16T13:17:52Z'}",bVYat45leGI
12,6075fe23a6ab47101c2989ea,youtube#searchResult,OEnd_4RUdqWRcsqSKNExtxII10s,"{'kind': 'youtube#video', 'videoId': 'GOzP6VyDZp4'}","{'publishedAt': '2017-04-06T00:15:13Z', 'channelId': 'UCvsmFDBfrodAa0ppK84U42A', 'title': '(18+) Atraumatic Tooth Extraction (ถอนฟันแบบไม่บาดเจ็บ)', 'description': 'Call: 02-236-5299, 080-956-0797.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/GOzP6VyDZp4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/GOzP6VyDZp4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/GOzP6VyDZp4/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'จัดฟัน', 'liveBroadcastContent': 'none', 'publishTime': '2017-04-06T00:15:13Z'}",GOzP6VyDZp4
